Titles,List of Authors,Citations,PMIDs,Abstract Snippets
"
              
                Microbiome Profiling Reveals Gut Dysbiosis in the Metabotropic Glutamate Receptor 5 Knockout Mouse Model of Schizophrenia.
              
            ","Gubert C, Kong G, Uzungil V, Zeleznikow-Johnston AM, Burrows EL, Renoir T, Hannan AJ.",Front Cell Dev Biol. 2020 Oct 29;8:582320. doi: 10.3389/fcell.2020.582320. eCollection 2020.,33195226,"
              However, no animal model of SZ has previously recapitulated the gut dysbiosis observed clinically. Since the metabotropic glutamate receptor 5 (mGlu5) knockout mice provide a preclinical model of SZ with strong face and predictive validity, in the present study we performe …
            "
"
              
                Evaluation of the Prebiotic Potential of a Commercial Synbiotic Food Ingredient on Gut Microbiota in an Ex Vivo Model of the Human Colon.
              
            ","Mottawea W, Sultan S, Landau K, Bordenave N, Hammami R.",Nutrients. 2020 Sep 1;12(9):2669. doi: 10.3390/nu12092669.,32882999,"
              Behavior and mood disorders have been linked to gut microbiota dysbiosis through the ""microbiota-gut-brain axis"". ...The test formulation did not alter the diversity of gut microbiota over 48 h of treatment. However, it induced the …
            "
"
              
                Sensitivity to Morphine Reward Associates With Gut Dysbiosis in Rats With Morphine-Induced Conditioned Place Preference.
              
            ","Zhang J, Yang J, Yang C, Chen T, Wang Z, Li J, Qin F, Deng Q, Zhang X.",Front Psychiatry. 2020 Aug 28;11:631. doi: 10.3389/fpsyt.2020.00631. eCollection 2020.,33005148,"
              Variations of the gut microbiota has been implicated in various mental disorders, including opioid use disorders. Morphine exposure has been repeatedly found to disrupt the gut microbiota, but association between the gut microbiota …
            "
"
              
                Effects of a Supplement Containing a Cranberry Extract on Recurrent Urinary Tract Infections and Intestinal Microbiota: A Prospective, Uncontrolled Exploratory Study.
              
            ","Jeitler M, Michalsen A, Schwiertz A, Kessler CS, Koppold-Liebscher D, Grasme J, Kandil FI, Steckhan N.",J Integr Complement Med. 2022 May;28(5):399-406. doi: 10.1089/jicm.2021.0300. Epub 2022 Mar 14.,35285701,"
              Further outcomes included number of antibiotics, quality of life (SF-36), intestinal microbiota (assessed by 16S rRNA amplicon sequencing), and evaluation questions. ...No significant intragroup mean changes at genus, family, or species level for alpha and beta diversit …
            "
"
              
                Antibiotic-induced microbiome depletion protects against MPTP-induced dopaminergic neurotoxicity in the brain.
              
            ","Pu Y, Chang L, Qu Y, Wang S, Zhang K, Hashimoto K.",Aging (Albany NY). 2019 Sep 3;11(17):6915-6929. doi: 10.18632/aging.102221. Epub 2019 Sep 3.,31479418,"
              Although the brain-gut axis appears to play a role in the pathogenesis of Parkinson's disease, the precise mechanisms underlying the actions of gut microbiota in this disease are unknown. ...Furthermore, antibiotic treatment significantly decreased the div …
            "
"
              
                Effects of antipsychotics on the gastrointestinal microbiota: A systematic review.
              
            ","Dias MF, Nogueira YJA, Romano-Silva MA, Marques de Miranda D.",Psychiatry Res. 2024 Jun;336:115914. doi: 10.1016/j.psychres.2024.115914. Epub 2024 Apr 16.,38663221,"
              These drugs have been associated with considerable side effects, such as weight gain, and increasing evidence has also indicated that its use impacts gut microbiota (GM), although this connection is still little understood. ...However, the studies were noticeably he …
            "
"
              
                Antibiotic-induced microbiome depletion is associated with resilience in mice after chronic social defeat stress.
              
            ","Wang S, Qu Y, Chang L, Pu Y, Zhang K, Hashimoto K.",J Affect Disord. 2020 Jan 1;260:448-457. doi: 10.1016/j.jad.2019.09.064. Epub 2019 Sep 13.,31539679,"
              RESULTS: Treatment with an antibiotic cocktail for 14 days significantly decreased the diversity and composition of the microbiota in the host gut. Proteobacteria were markedly increased after treatment with the antibiotic cocktail. At the genus and species l …
            "
"
              
                Microbiome profiling reveals gut dysbiosis in a transgenic mouse model of Huntington's disease.
              
            ","Kong G, Cao KL, Judd LM, Li S, Renoir T, Hannan AJ.",Neurobiol Dis. 2020 Feb;135:104268. doi: 10.1016/j.nbd.2018.09.001. Epub 2018 Sep 5.,30194046,"
              Whilst the focus of much research has been on the cognitive, psychiatric and motor symptoms of HD, the extent of peripheral pathology and its potential impact on central symptoms has been less intensely explored. Disruption of the gastrointestinal microbiome (gut …
            "
"
              
                Integrative Therapies in Anxiety Treatment with Special Emphasis on the Gut Microbiome.
              
            ","Schnorr SL, Bachner HA.",Yale J Biol Med. 2016 Sep 30;89(3):397-422. eCollection 2016 Sep.,27698624,"
              Over the past decade, research has shown that diet and gut health affects symptoms expressed in stress related disorders, depression, and anxiety through changes in the gut microbiota. ...While mental health care requires the professional …
            "
"
              
                GABA Production by Human Intestinal Bacteroides spp.: Prevalence, Regulation, and Role in Acid Stress Tolerance.
              
            ","Otaru N, Ye K, Mujezinovic D, Berchtold L, Constancias F, Cornejo FA, Krzystek A, de Wouters T, Braegger C, Lacroix C, Pugin B.",Front Microbiol. 2021 Apr 15;12:656895. doi: 10.3389/fmicb.2021.656895. eCollection 2021.,33936013,"
              The high neuroactive potential of metabolites produced by gut microbes has gained traction over the last few years, with metagenomic-based studies suggesting an important role of microbiota-derived gamma-aminobutyric acid (GABA) in modulating mental health …
            "
"
              
                Ancient Thali Diet: Gut Microbiota, Immunity, and Health.
              
            ","Shondelmyer K, Knight R, Sanivarapu A, Ogino S, Vanamala JKP.",Yale J Biol Med. 2018 Jun 28;91(2):177-184. eCollection 2018 Jun.,29955222,"
              Emerging evidence suggests that above dietary components can directly impact the composition and metabolic activity of the mammalian gut microbiota and in turn, affect both physical and mental health. ...This variety helps to restore diversity i …
            "
"
              
                The Role of the Oral Microbiota Related to Periodontal Diseases in Anxiety, Mood and Trauma- and Stress-Related Disorders.
              
            ","Martínez M, Postolache TT, García-Bueno B, Leza JC, Figuero E, Lowry CA, Malan-Müller S.",Front Psychiatry. 2022 Jan 27;12:814177. doi: 10.3389/fpsyt.2021.814177. eCollection 2021.,35153869,"
              ., the superorganism consisting of a human and its microbiotas. Much emphasis has been placed on the role of the gut microbiota in the development, exacerbation, and persistence of psychiatric disorders; however, data for the oral microbiota are limited. The …
            "
"
              
                Nutritional Support of Neurodevelopment and Cognitive Function in Infants and Young Children-An Update and Novel Insights.
              
            ","Cohen Kadosh K, Muhardi L, Parikh P, Basso M, Jan Mohamed HJ, Prawitasari T, Samuel F, Ma G, Geurts JM.",Nutrients. 2021 Jan 10;13(1):199. doi: 10.3390/nu13010199.,33435231,"
              Failure to optimize neurodevelopment early in life can have profound long-term implications for both mental health and quality of life. Although the first 1000 days of life represent the most critical period of neurodevelopment, the central and peripheral nervous sy …
            "
"
              
                Sleep and the gut microbiota in preschool-aged children.
              
            ","Wang Y, van de Wouw M, Drogos L, Vaghef-Mehrabani E, Reimer RA, Tomfohr-Madsen L, Giesbrecht GF.",Sleep. 2022 Jun 13;45(6):zsac020. doi: 10.1093/sleep/zsac020.,35037059,"
              Sleep plays a significant role in the mental and physical development of children. Emerging evidence in animals and human adults indicates a relationship between sleep and the gut microbiota; however, it is unclear whether the sleep of preschoolers during a k …
            "
"
              
                The gut microbiome and child mental health: A population-based study.
              
            ","Kraaij R, Schuurmans IK, Radjabzadeh D, Tiemeier H, Dinan TG, Uitterlinden AG, Hillegers M, Jaddoe VWV, Duijts L, Moll H, Rivadeneira F, Medina-Gomez C, Jansen PW, Cecil CAM.",Brain Behav Immun. 2023 Feb;108:188-196. doi: 10.1016/j.bbi.2022.12.006. Epub 2022 Dec 6.,36494050,"
              In this cross-sectional study in 1,784 ten-year-old children from the multi-ethnic, population-based Generation R Study, we aimed to characterize associations of the gut microbiome with child mental health problems. Gut microbiome was ass …
            "
"
              
                Environment dominates over host genetics in shaping human gut microbiota.
              
            ","Rothschild D, Weissbrod O, Barkan E, Kurilshikov A, Korem T, Zeevi D, Costea PI, Godneva A, Kalka IN, Bar N, Shilo S, Lador D, Vila AV, Zmora N, Pevsner-Fischer M, Israeli D, Kosower N, Malka G, Wolf BC, Avnit-Sagi T, Lotan-Pompan M, Weinberger A, Halpern Z, Carmi S, Fu J, Wijmenga C, Zhernakova A, Elinav E, Segal E.",Nature. 2018 Mar 8;555(7695):210-215. doi: 10.1038/nature25973. Epub 2018 Feb 28.,29489753,"
              Human gut microbiome composition is shaped by multiple factors but the relative contribution of host genetics remains elusive. ...These results suggest that microbiome alterations aimed at improving clinical outcomes may be carried out across diverse g …
            "
"
              
                Gut Microbiota and Behavioural Issues in Production, Performance, and Companion Animals: A Systematic Review.
              
            ","Homer B, Judd J, Mohammadi Dehcheshmeh M, Ebrahimie E, Trott DJ.",Animals (Basel). 2023 Apr 25;13(9):1458. doi: 10.3390/ani13091458.,37174495,"
              It is evident from the literature that an association exists between gut microbiota diversity (and by extension, the concurrent production of microbial metabolites) and abnormal behavioural phenotypes across various species, including pigs, dogs, and horses. …
            "
